place_name,latitude,longitude,destination_city
Marina Beach,13.0534,80.2834,Chennai
Elliot's Beach,12.9995,80.2724,Chennai
Besant Nagar Beach,12.9996,80.2682,Chennai
Thiruvanmiyur Beach,12.9816,80.2608,Chennai
Covelong Beach,12.7922,80.2546,Chennai
Neelankarai Beach,12.9492,80.2589,Chennai
Breezy Beach,13.0078,80.2792,Chennai
Palavakkam Beach,12.9621,80.2541,Chennai
Injambakkam Beach,12.9102,80.2479,Chennai
Santhome Beach,13.0338,80.2778,Chennai
Olcott Memorial Beach,13.0425,80.2801,Chennai
Broken Bridge Beach,13.0401,80.2814,Chennai
Bharathi Nagar Beach,13.0456,80.2825,Chennai
Kapaleeshwarar Temple,13.0337,80.2698,Chennai
Parthasarathy Temple,13.0351,80.2734,Chennai
Vadapalani Murugan Temple,13.0512,80.2125,Chennai
Ashtalakshmi Temple,12.9991,80.2726,Chennai
Marundeeswarar Temple,13.0385,80.2421,Chennai
Shirdi Sai Baba Temple,13.0445,80.2231,Chennai
Kandaswamy Temple,13.0445,80.2214,Chennai
Adyar Shiva Temple,13.0001,80.2574,Chennai
Thiruvalluvar Temple,13.0821,80.2782,Chennai
Kalikambal Temple,13.0855,80.2796,Chennai
Mahabalipuram Shore Temple,12.6169,80.1977,Chennai
Santhome Cathedral Basilica,13.0338,80.2778,Chennai
San Thome Church,13.0338,80.2778,Chennai
Luz Church,13.0321,80.2584,Chennai
St. Mary's Church,13.0815,80.2882,Chennai
Fort St. George Museum,13.0795,80.2874,Chennai
Government Museum,13.0714,80.2565,Chennai
DakshinaChitra Museum,12.8172,80.2442,Chennai
Gandhi Mandapam,13.0521,80.2812,Chennai
Vivekananda House,13.0352,80.2741,Chennai
Birla Planetarium,13.0608,80.2453,Chennai
Egmore Museum Complex,13.0714,80.2565,Chennai
Ayurveda College Museum,13.0312,80.2654,Chennai
Guindy National Park,13.0071,80.2263,Chennai
Semmozhi Poonga,13.0602,80.2462,Chennai
Nageswara Rao Park,13.0321,80.2684,Chennai
Theosophical Society,13.0024,80.2611,Chennai
Arignar Anna Zoological Park,12.8892,80.0812,Chennai
